Date,Meninggal (baru),Sembuh (baru),Total Kasus,Meninggal,Sembuh,Aktif,Kasus Baru,Persentase Spesimen Positif (Orang),Persentase Penambahan Kasus,Suspek,Spesiment Baru (Orang),Test (Orang),Test (Spesimen),Tingkat Kematian,Tingkat Kesembuhan,Persentase Aktif
2020-06-22,35,331,46845,2500,18735,25610,954,0.09528565721134638,0.0207883898803687,56499,10012,10012,10926,0.05336748852598997,0.3999359590137688,0.5466965524602412
2020-06-23,35,506,47896,2535,19241,26120,1051,0.12272302662307333,0.022435692176326183,49331,8564,8564,17908,0.052927175547018535,0.4017245699014532,0.5453482545515284
2020-06-24,38,417,49009,2573,19658,26778,1113,0.09094623304461512,0.023237848672122932,49717,12238,12238,21233,0.05250056112142668,0.40111000020404414,0.5463894386745292
2020-06-25,47,791,50187,2620,20449,27118,1178,0.08897953017599516,0.024036401477279683,50617,13239,13239,19510,0.05220475421922011,0.40745611413314203,0.5403391316476378
2020-06-26,63,884,51427,2683,21333,27411,1240,0.09726253039454076,0.02470759359993624,51887,12749,12749,22819,0.05217103855951154,0.4148210084197017,0.5330079530207867
2020-06-27,37,576,52812,2720,21909,28183,1385,0.14334506313392673,0.02693137845878624,54063,9662,9662,21589,0.05150344618647277,0.4148488979777323,0.5336476558357949
2020-06-28,34,1027,54010,2754,22936,28320,1198,0.1695203056459601,0.022684238430659698,62370,7067,7067,17230,0.050990557304202926,0.4246620996111831,0.524347343084614
2020-06-29,51,864,55092,2805,23800,28487,1082,0.11959765668177295,0.02003332716163673,54940,9047,9047,11783,0.05091483336963625,0.4320046467726712,0.5170805198576925
2020-06-30,71,1006,56385,2876,24806,28703,1293,0.11113021057155137,0.0234698322805489,56979,11635,11635,21515,0.05100647335284207,0.4399397002748958,0.5090538263722622
2020-07-01,58,789,57770,2934,25595,29241,1385,0.09233333333333334,0.02456327037332624,58488,15000,15000,21738,0.05078760602388783,0.4430500259650337,0.5061623680110784
2020-07-02,53,1072,59394,2987,26667,29740,1624,0.15017569816904014,0.02811147654491951,54137,10814,10814,23519,0.05029127521298448,0.4489847459339327,0.5007239788530828
2020-07-03,49,901,60695,3036,27568,30091,1301,0.07726570851645087,0.021904569485133186,52376,16838,16838,22281,0.05002059477716452,0.4542054534969932,0.4957739517258423
2020-07-04,53,651,62142,3089,28219,30834,1447,0.14919063821012474,0.023840514045638025,53095,9699,9699,22992,0.04970873161468894,0.4541051140935277,0.4961861542917833
2020-07-05,82,886,63749,3171,29105,31473,1607,0.1529602132114982,0.02586012680634676,53695,10506,10506,21054,0.04974195673657626,0.4565561812734317,0.4937018619899921
2020-07-06,70,814,64958,3241,29919,31798,1209,0.10151985893022084,0.01896500337260193,52108,11909,11909,12756,0.04989377751778072,0.460589919640383,0.4895163028418363
2020-07-07,68,866,66226,3309,30785,32132,1268,0.11878220140515222,0.019520305428122785,52173,10675,10675,17816,0.04996527043759249,0.4648476429196992,0.4851870866427083
2020-07-08,50,800,68079,3359,31585,33135,1853,0.1450262189872427,0.027979947452662097,52134,12777,12777,22183,0.04933973765772119,0.4639462976835735,0.4867139646587053
2020-07-09,58,1066,70736,3417,32651,34668,2657,0.21181441326530606,0.03902818784059695,52230,12544,12544,23832,0.04830637864736485,0.4615895724949106,0.4901040488577245
2020-07-10,52,878,72347,3469,33529,35349,1611,0.1716020451640392,0.02277482470029405,52587,9388,9388,23609,0.0479494657691404,0.4634469984933722,0.4886035357374874
2020-07-11,66,1190,74018,3535,34719,35764,1671,0.13235643564356436,0.023097018535668368,48639,12625,12625,23310,0.04775865330054852,0.4690615796157692,0.4831797670836823
2020-07-12,71,919,75699,3606,35638,36455,1681,0.15290158268146262,0.02271069199383933,49001,10994,10994,22379,0.04763603218008164,0.4707856114347613,0.481578356385157
2020-07-13,50,1051,76981,3656,36689,36636,1282,0.14146987419995585,0.01693549452436624,46943,9062,9062,13100,0.047492238344526566,0.4765981216144243,0.4759096400410491
2020-07-14,54,947,78572,3710,37636,37226,1591,0.13241781106949646,0.020667437419623024,46701,12015,12015,23001,0.047217838415720616,0.4790001527261621,0.4737820088581174
2020-07-15,87,1414,80094,3797,39050,37247,1522,0.09825059712090893,0.019370768212594817,47859,15491,15491,24871,0.047406797013509125,0.4875521262516543,0.4650410767348366
2020-07-16,76,1295,81668,3873,40345,37450,1574,0.1294833826916749,0.019651909006916872,46727,12156,12156,23947,0.047423715531175005,0.4940123426556301,0.4585639418131949
2020-07-17,84,1489,83130,3957,41834,37339,1462,0.10447334571959413,0.01790174854288093,46493,13994,13994,29176,0.04760014435221942,0.503235895585228,0.4491639600625526
2020-07-18,59,1434,84882,4016,43268,37598,1752,0.1323462758724883,0.021075424034644533,37593,13238,13238,25552,0.04731274003911312,0.5097429372540704,0.4429443227068165
2020-07-19,127,2133,86521,4143,45401,36977,1639,0.1607650809220206,0.019309158596640043,37505,10195,10195,20504,0.04788432866009408,0.5247396585799979,0.427376012759908
2020-07-20,96,1576,88214,4239,46977,36998,1693,0.1276868542122332,0.019567503842997654,36380,13259,13259,14027,0.04805359693472691,0.5325345183304238,0.41941188473484936
2020-07-21,81,1489,89869,4320,48466,37083,1655,0.09540554562748604,0.01876119436824087,44003,17347,17347,22262,0.0480699685097197,0.5392960865259433,0.412633944964337
2020-07-22,139,1789,91751,4459,50255,37037,1882,0.1597351892717705,0.020941592762799187,44222,11782,11782,25302,0.048598925352312236,0.5477324497825636,0.4036686248651241
2020-07-23,117,1909,93657,4576,52164,36917,1906,0.14297502062861,0.02077361554642456,47756,13331,13331,27815,0.04885913492851576,0.5569685127646625,0.3941723523068217
2020-07-24,89,1781,95418,4665,53945,36808,1761,0.12451389379905252,0.01880265223101317,53702,14143,14143,24965,0.0488901465132365,0.5653545452639963,0.3857553082227672
2020-07-25,49,1409,97286,4714,55354,37218,1868,0.1536436913966113,0.01957701901108805,54752,12158,12158,25318,0.048455070616532696,0.5689821762637995,0.3825627531196678
2020-07-26,67,1301,98778,4781,56655,37342,1492,0.1939677587103484,0.015336225150586929,55647,7692,7692,20492,0.04840146591346251,0.5735588896312944,0.3780396444552431
2020-07-27,57,1518,100303,4838,58173,37292,1525,0.13868679519825391,0.015438660430460225,54910,10996,10996,13060,0.0482338514301666,0.5799726827712033,0.37179346579863015
2020-07-28,63,2366,102051,4901,60539,36611,1748,0.11483379319406126,0.01742719559734006,46646,15222,15222,22563,0.048025007104290994,0.5932229963449648,0.35875199655074425
2020-07-29,74,1599,104432,4975,62138,37319,2381,0.1333221344980122,0.023331471519142388,57393,17859,17859,30261,0.04763865481844645,0.5950091925846483,0.3573521525969052
2020-07-30,83,2154,106336,5058,64292,36986,1904,0.12713675213675213,0.018231959552627547,53723,14976,14976,30046,0.04756620523623232,0.6046117965693649,0.3478219981944026
2020-07-31,73,1615,108376,5131,65907,37338,2040,0.19362186788154892,0.0191844718627746,60739,10536,10536,28562,0.047344430501217984,0.6081327969292094,0.3445227725695726
2020-08-01,62,2012,109936,5193,67919,36824,1560,0.16675574559059328,0.014394330848158263,57816,9355,9355,11190,0.0472365740066948,0.6178049046718089,0.3349585213214961
2020-08-02,43,1056,111455,5236,68975,37244,1519,0.2352121399814184,0.013817129966525978,62366,6458,6458,20032,0.046978601229195636,0.618859629446862,0.3341617693239424
2020-08-03,66,1262,113134,5302,70237,37595,1679,0.13786025125215534,0.015064375757031984,77572,12179,12179,14728,0.046864779818622165,0.6208301659978432,0.33230505418353457
2020-08-04,86,1813,115056,5388,72050,37618,1922,0.1428359096313912,0.01698870366114519,68131,13456,13456,22902,0.046829370045890696,0.6262167987762481,0.3269538311778612
2020-08-05,64,1839,116871,5452,73889,37530,1815,0.12328487977177012,0.015774926992073425,94593,14722,14722,28738,0.04664972491037126,0.6322269853085881,0.32112328978104066
2020-08-06,69,1756,118753,5521,75645,37587,1882,0.14020710720405274,0.016103224923205928,91219,13423,13423,29375,0.04649145705792696,0.6369944338248297,0.31651410911724337
2020-08-07,72,1912,121226,5593,77557,38076,2473,0.15673722905311194,0.02082473705927429,80200,15778,15778,30159,0.04613696731724218,0.6397719961064459,0.314091036576312
2020-08-08,65,1749,123503,5658,79306,38539,2277,0.1947485460143688,0.018783099335126133,83624,11692,11692,30565,0.04581265232423504,0.6421382476539031,0.3120491000218618
2020-08-09,65,1646,125396,5723,80952,38721,1893,0.21052046263345195,0.015327562893209072,87224,8992,8992,21918,0.0456394143353855,0.6455708316054739,0.30878975405914066
2020-08-10,42,1284,127083,5765,82236,39082,1687,0.1371656232214001,0.013453379693132156,84139,12299,12299,15836,0.0453640534139106,0.6471046481433393,0.30753129844275
2020-08-11,59,1474,128776,5824,83710,39242,1693,0.1252867608969141,0.013322002156071228,85928,13513,13513,25791,0.04522581847549234,0.6500434863639187,0.3047306951605889
2020-08-12,79,2088,130718,5903,85798,39017,1942,0.14177252153599065,0.015080449773249675,86619,13698,13698,26248,0.04515827965544148,0.6563594914242874,0.2984822289202711
2020-08-13,65,1760,132816,5968,87558,39290,2098,0.14127946127946128,0.016049817163665294,76515,14850,14850,25814,0.04493434525960728,0.6592428623057462,0.29582279243464643
2020-08-14,53,2060,135123,6021,89618,39484,2307,0.1812539283469516,0.0173698951933502,75527,12728,12728,26018,0.0445594014342488,0.6632327583016955,0.2922078402640557
2020-08-15,50,1703,137468,6071,91321,40076,2345,0.182903049684112,0.017354558439347852,76327,12821,12821,27296,0.04416300520848488,0.6643073297058224,0.2915296650856927
2020-08-16,79,1782,139549,6150,93103,40296,2081,0.22575395964417444,0.015138068495940871,77090,9218,9218,25414,0.0440705415302152,0.6671706712337602,0.2887587872360246
2020-08-17,57,1355,141370,6207,94458,40705,1821,0.2520764119601329,0.013049179857971036,78659,7224,7224,12453,0.04390606210652897,0.6681615618589517,0.2879323760345193
2020-08-18,70,1848,143043,6277,96306,40460,1673,0.13482150052381334,0.01183419395911438,78394,12409,12409,14371,0.04388190963556413,0.6732660808288417,0.2828520095355942
2020-08-19,69,2351,144945,6346,98657,39942,1902,0.12730923694779114,0.013296700992009395,79174,14940,14940,26078,0.04378212425402739,0.6806512815205767,0.2755665942253959
2020-08-20,72,2017,147211,6418,100674,40119,2266,0.19245795821301173,0.015633516161302558,79484,11774,11774,28824,0.04359728552893466,0.6838755256061028,0.2725271888649625
2020-08-21,82,2317,149408,6500,102991,39917,2197,0.16233190483227428,0.014924156482871525,78877,13534,13534,19929,0.04350503319768687,0.6893272113943029,0.2671677554080103
2020-08-22,94,2207,151498,6594,105198,39706,2090,0.11505009358141585,0.01398854144356393,75457,18166,18166,24749,0.043525327067023986,0.6943854044277812,0.2620892685051948
2020-08-23,86,2302,153535,6680,107500,39355,2037,0.11696141479099678,0.013445722055736707,75522,17416,17416,22152,0.04350799491972514,0.7001660859087504,0.2563259191715244
2020-08-24,79,3560,155412,6759,111060,37593,1877,0.11597157862218105,0.012225225518611393,76745,16185,16185,19395,0.04349085012740329,0.7146166319203149,0.2418925179522817
2020-08-25,99,1807,157859,6858,112867,38134,2447,0.1317078421874159,0.015745244897433914,76667,18579,18579,21275,0.04344383278748757,0.7149861585338815,0.2415700086786309
2020-08-26,86,2542,160165,6944,115409,37812,2306,0.11237816764132554,0.014607972937874941,77056,20520,20520,29312,0.04335528985733463,0.7205631692317298,0.2360815409109356
2020-08-27,120,3166,162884,7064,118575,37245,2719,0.12936530592825196,0.01697624324914931,76201,21018,21018,29663,0.04336828663343238,0.7279720537314899,0.2286596596350777
2020-08-28,105,2325,165887,7169,120900,37818,3003,0.18037119346507294,0.018436433289948675,77857,16649,16649,33082,0.04321616522090339,0.7288093702339544,0.2279744645451421
2020-08-29,92,1902,169195,7261,122802,39132,3308,0.15628838703581216,0.019941285332786773,76252,21166,21166,28905,0.04291497975708502,0.7258015898814977,0.2312834303614173
2020-08-30,82,1383,172053,7343,124185,40525,2858,0.2525404259079261,0.016891752120334527,77951,11317,11317,25934,0.04267870946743155,0.7217834039511081,0.23553788658146035
2020-08-31,74,1774,174796,7417,125959,41420,2743,0.1883152547027324,0.015942761823391632,79320,14566,14566,15305,0.04243232110574613,0.7206057346850042,0.23696194420924965
2020-09-01,88,2098,177571,7505,128057,42009,2775,0.1814555679068855,0.015875649328359918,80675,15293,15293,30625,0.04226478422715421,0.7211594235545219,0.23657579221832395
2020-09-02,111,1914,180646,7616,129971,43059,3075,0.14297005765296633,0.017317016855229742,81757,21508,21508,31001,0.04215980425805167,0.7194789809904454,0.2383612147515029
2020-09-03,134,2084,184268,7750,132055,44463,3622,0.18761006940847405,0.02005026405234547,84701,19306,19306,37597,0.04205830637983806,0.7166464063212278,0.2412952872989341
2020-09-04,82,2126,187537,7832,134181,45524,3269,0.18060773480662984,0.017740464974927823,85178,18100,18100,36268,0.04176242554802519,0.7154908098135301,0.2427467646384447
2020-09-05,108,2220,190665,7940,136401,46324,3128,0.1851216192223472,0.01667937526994673,86778,16897,16897,30640,0.041643720661893896,0.7153961136023916,0.2429601657357145
2020-09-06,85,2174,194109,8025,138575,47509,3444,0.26041587901701324,0.01806309495712375,89701,13225,13225,27979,0.041342750722532184,0.7139030132554389,0.2447542360220289
2020-09-07,105,2077,196989,8130,140652,48207,2880,0.1779865274086892,0.01483702455836669,89992,16181,16181,18412,0.041271340024062256,0.7140094116930387,0.24471924828289904
2020-09-08,100,2306,200035,8230,142958,48847,3046,0.18349397590361446,0.015462792338658504,90952,16600,16600,32643,0.04114280000999825,0.7146649336366135,0.2441922663533881
2020-09-09,106,2242,203342,8336,145200,49806,3307,0.2156504727746984,0.016532106881295774,92330,15335,15335,29863,0.0409949739847154,0.7140679249736896,0.2449371010415949
2020-09-10,120,2310,207203,8456,147510,51237,3861,0.19006596435955492,0.018987715277709483,95501,20314,20314,34909,0.04081021992924813,0.7119105418357843,0.24727923823496764
2020-09-11,88,2707,210940,8544,150217,52179,3737,0.13182122826201986,0.0180354531546358,94886,28349,28349,31864,0.04050440883663601,0.7121314117758605,0.24736417938750355
2020-09-12,106,2241,214746,8650,152458,53638,3806,0.15271647540325814,0.01804304541575804,95539,24922,24922,38561,0.04028014491538842,0.7099457032959869,0.2497741517886247
2020-09-13,73,2552,218382,8723,155010,54649,3636,0.13910781238044226,0.016931630856919337,97227,26138,26138,30100,0.03994376825928877,0.709811248179795,0.2502449835609162
2020-09-14,118,3395,221523,8841,158405,54277,3141,0.15554895260733914,0.014383053548369369,98842,20193,20193,22606,0.0399100770574613,0.7150724755443001,0.2450174473982385
2020-09-15,124,2660,225030,8965,161065,55000,3507,0.1557905024210386,0.015831313227068967,99634,22511,22511,42636,0.039839132560103095,0.7157490112429454,0.2444118561969515
2020-09-16,135,3036,228993,9100,164101,55792,3963,0.1290333083710481,0.01761098520197307,100236,30713,30713,39774,0.03973920600193018,0.7166201586948072,0.2436406353032625
2020-09-17,122,2585,232628,9222,166686,56720,3635,0.12299103366604636,0.015873847672199588,103209,29555,29555,41804,0.03964269133552281,0.7165345530202727,0.2438227556442045
2020-09-18,114,4088,236519,9336,170774,56409,3891,0.15996546620621607,0.01672627542686177,104866,24324,24324,44428,0.0394725159500928,0.7220307882242019,0.2384966958257053
2020-09-19,112,3576,240687,9448,174350,56889,4168,0.1933747796232718,0.017622262904882904,107863,21554,21554,44543,0.03925430122939751,0.7243847818951584,0.23636091687544405
